case_id,day_label,group_label,source_folder,subfolder,filename,relative_path,extension,file_type,is_temp_lock,pairing_key,source_role,include_in_analysis
CASE_D1,Day 1,Childhood,Day1_Childhood,Audio Recordings _Transcripts,HWCH0AR.docx,Day1_Childhood/Audio Recordings _Transcripts/HWCH0AR.docx,.docx,transcript,false,HWCH0,primary_verbal_data,yes
CASE_D1,Day 1,Childhood,Day1_Childhood,Audio Recordings _Transcripts,HWCH10AR.docx,Day1_Childhood/Audio Recordings _Transcripts/HWCH10AR.docx,.docx,transcript,false,HWCH10,primary_verbal_data,yes
CASE_D1,Day 1,Childhood,Day1_Childhood,Audio Recordings _Transcripts,HWCH2AR.docx,Day1_Childhood/Audio Recordings _Transcripts/HWCH2AR.docx,.docx,transcript,false,HWCH2,primary_verbal_data,yes
CASE_D1,Day 1,Childhood,Day1_Childhood,Audio Recordings _Transcripts,HWCH3AR.docx,Day1_Childhood/Audio Recordings _Transcripts/HWCH3AR.docx,.docx,transcript,false,HWCH3,primary_verbal_data,yes
CASE_D1,Day 1,Childhood,Day1_Childhood,Audio Recordings _Transcripts,HWCH4AR.docx,Day1_Childhood/Audio Recordings _Transcripts/HWCH4AR.docx,.docx,transcript,false,HWCH4,primary_verbal_data,yes
CASE_D1,Day 1,Childhood,Day1_Childhood,Audio Recordings _Transcripts,HWCH6AR.docx,Day1_Childhood/Audio Recordings _Transcripts/HWCH6AR.docx,.docx,transcript,false,HWCH6,primary_verbal_data,yes
CASE_D1,Day 1,Childhood,Day1_Childhood,Audio Recordings _Transcripts,HWCH7AR.docx,Day1_Childhood/Audio Recordings _Transcripts/HWCH7AR.docx,.docx,transcript,false,HWCH7,primary_verbal_data,yes
CASE_D1,Day 1,Childhood,Day1_Childhood,NoteTakers_Notes,_$CH0NT1.docx,Day1_Childhood/NoteTakers_Notes/_$CH0NT1.docx,.docx,temp_lock,true,,excluded_temp_lock,no
CASE_D1,Day 1,Childhood,Day1_Childhood,NoteTakers_Notes,HWCH0NT1.docx,Day1_Childhood/NoteTakers_Notes/HWCH0NT1.docx,.docx,note,false,HWCH0,contextual_triangulation_data,yes
CASE_D1,Day 1,Childhood,Day1_Childhood,NoteTakers_Notes,HWCH10NT1.docx,Day1_Childhood/NoteTakers_Notes/HWCH10NT1.docx,.docx,note,false,HWCH10,contextual_triangulation_data,yes
